Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BWXT,"Bwx Technologies Inc",52.16,-0.48,-0.91%,52.57,52.6,51.67,336200,2022-10-07
BX,"Blackstone Inc",86.38,-5.23,-5.71%,89.48,89.97,85.81,4453500,2022-10-07
BXP,"Boston Properties",71.31,-2.11,-2.87%,72.34,73.18,71.11,1344500,2022-10-07
BYD,"Boyd Gaming Corp",51.18,-1.11,-2.12%,51.66,51.87,50.8,595000,2022-10-07
C,"Citigroup Inc",42.19,-0.87,-2.02%,42.7,42.79,41.94,18101199,2022-10-07
CABO,"Cable One Inc",816.63,-27.82,-3.29%,841.2,841.2,815.54,82500,2022-10-07
CACC,"Credit Acceptance",443.32,-14.48,-3.16%,452.04,452.04,435.9,83000,2022-10-07
CACI,"Caci International",260.76,-2.25,-0.86%,262.41,262.41,257.76,185900,2022-10-07
CAG,"Conagra Brands Inc",32.85,0.29,+0.89%,32.56,32.9,32.37,5503400,2022-10-07
CAH,"Cardinal Health",68.22,-1.22,-1.76%,68.8,69.28,67.73,2669000,2022-10-07
CAR,"Avis Budget Group",175.63,-2.44,-1.37%,173,183.59,173,2049600,2022-10-07
CARR,"Carrier Global Corp",35.33,-1.88,-5.05%,36.7,36.96,35.02,9001800,2022-10-07
CASY,"Casey's General Stor",200.18,-3.11,-1.53%,202.55,203.47,199.2,250900,2022-10-07
CAT,"Caterpillar Inc",177.55,-1.26,-0.70%,176.72,178.96,175.14,2759200,2022-10-07
CB,"Chubb Ltd",184.68,-4.14,-2.19%,187.93,188.24,184.05,1271400,2022-10-07
CBOE,"CBOE Global Markets Inc",118.94,-2.74,-2.25%,121.75,121.94,118.21,661900,2022-10-07
CBRE,"CBRE Group Inc",69.43,-2.24,-3.13%,70.67,70.89,68.9,1554600,2022-10-07
CBSH,"Commerce Bancshares",69.18,-1.26,-1.79%,70.19,70.19,68.85,268800,2022-10-07
CC,"Chemours Company",26.37,-0.56,-2.08%,26.54,26.92,26,2138900,2022-10-07
CCCS,"CCC Intelligent Solutions Hldgs Inc",9.23,-0.18,-1.91%,9.3,9.3,9.16,570800,2022-10-07
CCI,"Crown Castle Inc",134.35,-3.35,-2.43%,136.47,137.84,133.48,2436600,2022-10-07
CCK,"Crown Cork & Seal Company",81.13,-2.81,-3.35%,82.54,82.74,80.6,905700,2022-10-07
CCL,"Carnival Corp",6.76,-0.22,-3.15%,6.9,6.99,6.57,82260195,2022-10-07
CDAY,"Ceridian Hcm Holding Inc",59.64,-2.65,-4.25%,60.71,61.03,59.13,947000,2022-10-07
CDNS,"Cadence Design Sys",158.9,-9.51,-5.65%,165.26,165.62,158,2415600,2022-10-07
CDW,"CDW Corp",159.62,-5.38,-3.26%,162.79,162.79,158.95,750900,2022-10-07
CE,"Celanese Corp",90.24,-2.34,-2.53%,91.28,92.2,89.66,1292800,2022-10-07
CEG,"Constellation Energy Corp",84.39,-1.89,-2.19%,85.71,85.75,83.37,2017100,2022-10-07
CERT,"Certara Inc",13.11,-0.52,-3.82%,13.48,13.53,13.07,482600,2022-10-07
CF,"Cf Industries Holdings",104.8,-0.93,-0.88%,105.59,106.41,103.2,1928600,2022-10-07
CFG,"Citizens Financial Group Inc/Ri",35.02,-0.41,-1.16%,35.09,35.18,34.46,3716600,2022-10-07
CFLT,"Confluent Inc Cl A",24.83,-2.77,-10.04%,26.66,26.86,24.44,2135300,2022-10-07
CFR,"Cullen/Frost Bankers",138.47,-1.34,-0.96%,139.56,139.56,137.06,294100,2022-10-07
CG,"The Carlyle Group",26.67,-0.97,-3.51%,27.06,27.18,26.39,2214300,2022-10-07
